quarter,rppi
2015 Q1,100
2015 Q2,96.15247243
2015 Q3,99.59691458
2015 Q4,94.47357691
2016 Q1,91.67485992
2016 Q2,88.26098694
2016 Q3,93.96892909
2016 Q4,90.93183737
2017 Q1,89.98384786
2017 Q2,99.96330673
2017 Q3,90.62038484
2017 Q4,94.9397221
2018 Q1,87.28103379
2018 Q2,90.66353642
2018 Q3,85.45229374
2018 Q4,86.72439808
2019 Q1,91.55115533
2019 Q2,89.22
2019 Q3,95.4031
2019 Q4,95.25160752
2020 Q1,91.11950536
2020 Q2,84.62315177
2020 Q3,91.68620124
2020 Q4,90.56111175
2021 Q1,92.80893252
2021 Q2,93.89976567
2021 Q3,93.13135265
2021 Q4,97.63840313
2022 Q1,88.32170532
2022 Q2,93.07539752
2022 Q3,91.61407258
2022 Q4,98.30834244
2023 Q1,96.50471726
2023 Q2,92.57136779
2023 Q3,97.75045863
2023 Q4,91.81814084
2024 Q1,92.27145134
2024 Q2,95.05464187
2024 Q3,93.57730666
